address,label_type,source,name,severity
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,exchange,etherscan-labels@923aba7,Binance,
0x85b931a32a0725be14285b66f1a22178c672d69b,exchange,etherscan-labels@923aba7,Binance 10,
0x708396f17127c42383e3b9014072679b2f60b82f,exchange,etherscan-labels@923aba7,Binance 11,
0xe0f0cfde7ee664943906f17f7f14342e76a5cec7,exchange,etherscan-labels@923aba7,Binance 12,
0x8f22f2063d253846b53609231ed80fa571bc0c8f,exchange,etherscan-labels@923aba7,Binance 13,
0x28c6c06298d514db089934071355e5743bf21d60,exchange,etherscan-labels@923aba7,Binance 14,
0x21a31ee1afc51d94c2efccaa2092ad1028285549,exchange,etherscan-labels@923aba7,Binance 15,
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,exchange,etherscan-labels@923aba7,Binance 16,
0x56eddb7aa87536c09ccc2793473599fd21a8b17f,exchange,etherscan-labels@923aba7,Binance 17,
0x9696f59e4d72e237be84ffd425dcad154bf96976,exchange,etherscan-labels@923aba7,Binance 18,
0x4d9ff50ef4da947364bb9650892b2554e7be5e2b,exchange,etherscan-labels@923aba7,Binance 19,
0xd551234ae421e3bcba99a0da6d736074f22192ff,exchange,etherscan-labels@923aba7,Binance 2,
0x4976a4a02f38326660d17bf34b431dc6e2eb2327,exchange,etherscan-labels@923aba7,Binance 20,
0xd88b55467f58af508dbfdc597e8ebd2ad2de49b3,exchange,etherscan-labels@923aba7,Binance 21,
0x7dfe9a368b6cf0c0309b763bb8d16da326e8f46e,exchange,etherscan-labels@923aba7,Binance 22,
0x345d8e3a1f62ee6b1d483890976fd66168e390f2,exchange,etherscan-labels@923aba7,Binance 23,
0xc3c8e0a39769e2308869f7461364ca48155d1d9e,exchange,etherscan-labels@923aba7,Binance 24,
0x2e581a5ae722207aa59acd3939771e7c7052dd3d,exchange,etherscan-labels@923aba7,Binance 25,
0x44592b81c05b4c35efb8424eb9d62538b949ebbf,exchange,etherscan-labels@923aba7,Binance 26,
0xa344c7ada83113b3b56941f6e85bf2eb425949f3,exchange,etherscan-labels@923aba7,Binance 27,
